sentence_A,sentence_B,relatedness_score
a girl with vases in the background inside her house,The girl is standing as the other girl with glasses works on her hand painting.,0.2
There are four people outside.,Five people are outside.,3
A person sitting in an office takes a picture.,A woman is sitting in an office.,3.2
Girls are holding hands in blue clothes,The young people are wearing jeans with their red and green shirts.,1.8
People rock jumping into water while people fish in the background.,Two people watching the water.,2.2
A man is demonstrating how to work with clay while at least two people observe.,At least one of the three women is talking to the others.,0.6
A dog has a sweater on.,A man in a suit jacket is sitting on a red couch with a cat.,0.6
A blonde woman looks for medical supplies for work in a suitcase.,The blond woman is searching for medical supplies in a suitcase.,5
A boy is at school taking a test.,The boy is taking a test at school.,5
An old man wearing a hat stands outside a shop door.,a man in an oversized shirt sits at a shop,2.2
Sculptor applying concrete to large statue of human figure standing with no head.,A person is standing in front of a building holding aloft some plywood,0.2
A boy with dark hair is in water and is looking up.,The man is short hair.,0.6
A pole is behind a person that is playing peekaboo with a child.,There is a child with a ball,0.2
A woman is about to paint.,A boy is about to take a picture.,1
The carriage is drawn by a horse.,A man riding on a bicycle by side of building.,0.4
a man working at the steel mill,A man working in a foundry.,3.4
The young woman is flirting with the young boy.,The girl is young and cheery.,1.4
A woman looks at a duck as she walks behind it.,A woman is going on a walk with her dog.,1
the men are about to score in a water polo tournament,The two men are about to compete in a match.,2
Man sitting on a bench drink from a mug surrounded by rugs.,A man is sitting on one of two red benches and staring into a kiosk.,2.2
A man eats popcorn while watching cartoons late one night.,A man and a girl are watching cartoons at home,2.8
Three men sit on a bench.,two men sit on a bench.,3.2
The road is long.,There is nothing on the side of the road.,0.8
A small blond boy slides head first down a blue playground slide toward another blond youth.,"A young boy with his hair standing up, is sliding down a blue slide",2
The four women are practicing for a upcoming match.,The women are in a play,1.2
a young man wearing a white t-shirt and green and black shorts standing on a stump.,A man wearing a white shirt and red and black shorts is running on the sidewalk.,1.8
man on steps,A man sits on steps.,4
A dog under the stairs,A dog is resting on the stairs.,2.2
There is a young girl.,There is a young boy with the woman.,1
Two women give a demonstration at a Renaissance Fair.,Two people are doing a demonstration at a renaissance fair.,4.2
A woman paints a picture of a large building which can be seen in the background.,A person paints a picture of a large building which can be seen in the background.,4.2
Some guy sitting on a couch watching television.,A guy is sitting on the couch watching TV,5
A woman is posing for a Christmas card.,A girl is taking a photo.,1.2
Two kids are playing a game of Foosball.,The kids are playing a game with each other.,3.4
The man is in a deserted field.,The man is outside in the field.,4
A little boy is drinking from a juice packet.,A boy is drinking from a juice packet.,4.8
A man has his skis ready for the field to get iced out,A man on a boat getting ready to pull in his net to see what he caught.,0.4
The biker is doing dangerous stunts.,A biker is doing stunts.,4.4
A musician is smearing jam on his white guitar at a concert.,Trombonist playing the her instrument in a band for a parade.,0.4
A man is working on his farm.,An old guy is working on his farm and a cow kicks him.,2.8
A pair of young boys in t-shirts are hiding in the woods with one looking aghast.,Two smiling little girls playing in a fountain with other people.,0
A group of people playing soccer on a soccer field in front of a crowd.,A group of men playing soccer in a stadium full of people.,3
A man is enjoying watching three asian children dance.,A man is watching three asian kids dance.,4.6
A girl is talking to her dad on a cellphone.,a girl is talking on her phone.,4.4
One person wields an umbrella.,One person is holding an umbrella.,4.4
A woman walking down the side of a highway.,A man is standing on one feet on a bridge.,0.4
A group of teenagers jumping and having a good time.,A group of kids having a good time.,3.6
A man calling for a taxi at the airport on a sunny day.,A man is outside on a July day.,1.4
A man is playing his guitar at Joe's Cafe.,The man is playing the drums for his mom.,1.2
A young boy has a red fishing pole.,A young boy stands over a bridge with a fishing pole.,3
A player bounces a ball.,A player catching a ball.,1.6
Someone is on a blanket.,The person is making a blanket.,1.4
Men competing in a contest.,Two women compete in a contest.,2.4
The puppy is outdoor.,A man in printed board shorts is doing a yoga pose on the beach.,0
The man has a orange shirt.,The woman has a orange shirt.,3.4
The two kids look at the products sold inside the subway shop.,The kids are stealing from a store.,0.8
The baby boy wants his mother.,A baby boy is happy to see his mother.,2.8
A young girl in a pink jacket is playing a board game.,A boy in a jacket playing.,1.6
A smiling Caucasian male wearing a blue and black striped shirt it about to take a photograph.,A man in a white shirt and black pants is smiling.,1.6
A person is scaling a rock wall.,A person and a horse are above a fence.,0.2
A boy is very close to a girl.,A girl is close to a boy whose face is not shown.,3.2
Two men are playing a game of Scrabble together.,The two women are playing a game.,2.2
Six children are cleaning a room.,Two male children cleaning up leaves in a parking lot.,1.6
The girl is very skilled and practices a lot.,The man is very skilled.,2
Many guards are standing in front of the starting line of a race.,Two men in business dress are standing by the side of a road.,0.4
There is a cook preparing food.,A cook is making food.,5
Two men are helping a boy.,Two men are with a young child.,3.6
A man at a farmers market.,A man is at a farmers market.,4.8
four people walk toward a tower,Two men walk toward a dome-shaped building.,2
A little girl and boy are reading books.,An older child is playing with a doll while gazing out the window.,0.2
The child would like to swim.,The children want to swim.,3.8
Two skiing people are doing cross country skiing.,People skiing cross country.,3.6
A dog taking a poop in the street.,A man making balloon animals for two children on a street corner.,0.4
Men are fighting after a basketball game.,The men are playing a game of basketball.,2.2
A kid is talking in class.,A girl is going to class.,1.8
The women are trying to sell something to the individual.,The men are trying to make some money.,1.2
People are waiting for the fireworks to start.,Three people are waiting for the rain to stop.,1.2
A dog prepares to herd three sheep with horns.,A dog and sheep run together.,2.2
People are sitting around dimly lit tables while smiling and laughing.,People are sitting on benches.,2
A dog is chasing cows.,A white dog is chasing cows.,4
One football player tries to tackle a player on the opposing team.,A football player attempts a tackle.,4.6
Three men are drying to pull a Subaru out of a ditch along a mountain road.,Two men are waiting for a ride on the side of a dirt road.,1.4
A woman doesn't have her arms up because she's paralyzed from the neck down,A woman is sitting on the steps because she tripped and hurt her ankle.,0.8
People gathered in a room.,People gathered together in a room.,5
The woman in overalls paints a picture for her wall.,A woman is painting her wall white.,2.6
Adding aspirin to the water could kill the plant.,Men are trying to remove oil from a body of water.,0
Five kids are standing in front of a tent.,People are out sitting in front of a garden.,0.6
Female in a maroon shirt engaged in conversation with another female in a tan blazer.,"A girl in a blue dress and another girl in a purple dress, both smiling.",1.2
Baseball players playing a game at the park.,"A basketball player, playing in the home coming game.",1.6
They are preparing for a performance at school.,Two medical professionals in green look on at something.,0
The woman is wearing yellow.,The woman is wearing red.,2.8
Some smiling children are standing in front of an ocean sunset.,People walking in the dark.,0.6
A man is doing a stunt on his bicycle.,A man is doing a wheelie on his motorcycle.,3.2
Ten people riding ATVs.,4 people are riding bikes,1.6
Two fishermen try to untangle their large fishing net on the side of the road on a cloudy day.,Several men pull a fishing net up on to the beach.,3
A yellow vested person is doing road work.,A person is doing very well on their skateboard.,0.2
The woman had brown hair.,The woman has gray hair.,2.4
Black and white image of a wave crashing in the ocean.,a small black dog in the ocean with some rocks in the background,0.6
A lady and her daughter look through a microscope.,A girl and a lady both looking through a microscope.,4.6
Two workers are sitting next to pipes eating lunch,The construction workers are sitting down to eat lunch.,3.8
A boy does a skateboard trick on the stairs downtown.,a boy is running on the sidewalk,0.6
A group of people living in the desert,A group of people in the middle of the desert.,4
Two kids are swimming.,Six kids are going swimming.,2.8
Three humans are walking a dog.,Three people are walking a dog.,4.8
There are people out on the street.,People are out on the street.,5
people getting their dirty clothes cleaned,People are getting their clothes cleaned.,5
Two women are lost and calling for help.,Two Asian men are gathering materials for their business and their child had to come with them.,0.2
A man is throwing a penny into a fountain.,A little boy is throwing a man in water.,0.6
The children are holding musical instruments.,A group of children are singing and playing instruments,3.4
Two girls are playing Doctor inside their house.,The two girls are walking with their father.,0.8
A crowd of men wearing paper numbers on their shirts run in a race.,Several men running down a grass field wearing numbers on the front of their shirts.,3.6
A group of people are wearing police uniforms conducting an arrest.,A group of police officers are wearing protection.,2.8
The fruits should be eaten with lemon juice in order to prevent oxidation in your stomach.,three dogs growling On one another,0
A doctor prescribes medicine to a patient.,A doctor prescribes a medicine.,4.4
A woman is in the bathroom.,The woman is in a bathroom.,4.6
Spectators taking pictures of a rally car.,A crowd of people watching cars race down the track.,2.8
The man and woman are resting on a couch.,A man and woman are asleep on the couch.,4
the man is planning to shoot a wedding,the woman is going to a wedding.,1.4
The boy in the green jersey plays goalie on the soccer team.,The team in blue is playing a game against the team in white,1
The child's bike got wet.,She is putting away the bike.,1.2
A soldier walks a dog.,A man walks a dog.,3.2
A shirtless woman is operating a lawn mower.,A girl is mowing the grass with a lawn mower.,3
People are near water,People are near water.,5
The two officers are driving,Two officers are on horses.,2.2
Friends walk into a building,a man walks along walkway to the store,0.4
The lady looks sad because no one is buying her wares.,The lady is selling things.,2
The rollerblades are moving.,Two vehicles are going towards the camera.,0.8
There is a older man near a window.,A boy is near some stairs.,0.4
A guy and a girl are rock climbing with backpacks on.,Two boys are riding on a toy with a blonde girl running long side of them.,0
In Abu Dhabi the Golden Market is one of the premier public outdoor shopping areas.,A busy city square in an asian country.,1.6
A pregnant woman is in labor,a woman has a child.,1.6
A flock of birds hovered over the sandy beach.,Birds are flying at a beach.,3.8
people walk home,People waiting.,1.6
The religious people are enjoying the outdoors.,The group of people are enjoying the outdoors.,3.6
A girl in water without goggles or a swimming cap.,"A girl in water, with goggles and swimming cap.",3
A man is performing a stunt outdoors.,A young man on a beach is performing skateboard stunts.,2.8
A man is laughing with a woman,A man and a woman laughing.,4.8
He is about to run into the boat,The man is getting his boat clean to take it out on the water.,1.2
2 Cows are in a field.,Two sheep are in a field.,2.4
A wet child enjoys the summer.,A woman is enjoying the summer weather.,1.8
There was girl stranded on the roof.,The couple was on the bed.,0.2
There are four snowboarders going off a jump and that are in the air.,Two racers are coming to a turn.,1
The girl has a driver's license,A man has a driver's license.,2.6
People on motorcycles wearing racing gear ride around a racetrack,People on motorcycles ride around a racetrack,3.8
A man is standing on the ground with a paintbrush,A man with a crutch lying on the ground.,1.2
The kids are at the theater watching a movie.,it is picture day for the boys,0.2
Two women walk down the sidewalk to the store.,Two women walk down the sidewalk in the afternoon.,3.8
A man has his son on his back,A man spent his time with his son.,2.4
A group of dark-skinned people are walking past barbed wire.,Two women are gossiping by a fence.,0.4
Zombies parading around eating brains.,The zombies are eating flesh together.,3.4
A group of people are sitting at at a beach on towels watching the Blue Angels.,A group of people are sitting at a beach watching the Blue Angels.,4.2
"A basketball player makes the 5th rebound of the night,",A tennis player in the middle of a game.,1.4
Three people are meeting for coffee.,Two people make coffee.,2.4
A young girl with dirt on her face and a red child's bike is in the background.,The old woman in shorts and a white t-shirt is standing on a path watching children play.,0.8
A helicopter is getting ready to take off.,The plane is getting ready to take off.,2.8
A line of scooters are parking in the middle of a street.,A line of motor bikes are parked in the middle of a street.,4.4
A man holding a cat.,A man holding a dog.,3
A man doing a jumping bike trick surrounded by trees.,A boy riding a green trick bike over some steps outdoors.,3
Three guys in speedos have their feet up on the railing of a boat getting a tan.,A few men on the deck are dropping another man into the water,1.6
A group wading across a witch,A group wading across a ditch,2.8
A woman jumps and poses for the camera.,A woman poses for the camera.,4
A man is on a rooftop,A man is holding a microphone in a room.,0.8
There are two men near a wall.,Three women are sitting near a wall.,2
The cats are running through the grass.,Some dogs running through the park.,2
The two boys are playing kick ball back and forth to each other.,The players are kicking each other while attempting to kick the ball.,3
Two girls are running.,Three boys are running.,2.2
The two men are wearing jeans.,The two men are wearing pants.,4.4
A little girl in a white blouse and blue pants frolics on the grass.,A woman in a green shirt and white pants golfs on the green.,1.8
The man without a shirt is jumping.,The man jumping is not wearing a shirt.,4.6
The woman is holding the hands of the man.,The woman is checking the eyes of the man.,2.4
A man walks his dog on the beach.,A man with his dog on the beach.,4.4
The child is the woman's kid.,There is a boy and a girl.,0.8
A soccer player is kicking the ball.,The soccer player gave the ball a high kick.,3.8
Two boys in black swimming trunks are holding another boy by his arms and legs on a beach.,Man in white shirt flipping young boy in the water with four other boys surrounding them.,1.4
The player shoots the winning points.,The basketball player is about to score points for his team.,2.8
A man in a white shirt and hat playing a guitar.,A man in a green shirt and black hat playing a guitar on stage.,2.8
A black hooded man is using a large magnifying glass to look at a booklet.,A white hooded woman is using a magnifying glass to look at a booklet.,2.8
the people are running a marathon,People are running a marathon,5
A motorcross driver going by during a race,A race car driver performs in the race of his life.,3
A group of people are nervous about crossing the water.,A group of people are on the water.,2.2
A group of kids are having a jumping contest.,A group of kids are having a sleepover.,1.2
The gate is blue.,The gate is yellow.,1.6
The person is wearing a fedora.,A man is wearing a uniform.,1.6
A woman and a man embrace while watching a horror movie.,A man and a woman watch a movie together.,2.8
A man in a blue dress shirt.,A man in a white shirt and blue pants is talking with a woman in a pink shirt.,1.8
A couple is playing the game of Life.,The family is playing a game together.,2.6
The head of a child with dark glasses is in focus.,There is a woman with a full head of hair.,0.2
A dog walks along a beach with breaking waves.,A boy with an oar walks out of the surf and onto a beach.,1
A pair of men walk along the beach.,Two men standing in the surf on a beach.,2.6
Blond woman in a tunnel.,The couple kissing is near a blond woman.,1.6
A maintenance guy is repairing a net on a tennis court.,A man removing a tennis net.,2.4
A kid sits on a soccer ball outside.,A kid sitting on a soccer ball at the park.,4.2
The raven droned as is hopped along the grass.,The skinny dog with the long tail is traveling through the field.,0.2
A man in a brown coat rubs his nose.,A bald man with a red beard holds his hand near his mouth.,2.2
The dog is chasing the geese.,One dog is chasing the other.,1.6
Small child playing with letter P,2 young girls are sitting in front of a bookcase and 1 is reading a book.,0.8
A brown dog is jumping.,A brown dog is jumping,5
the man is catching a ball,A man is kicking a ball.,3
Two men are sitting in the room.,Two men are standing in a room.,3
A group of teenagers in red shirts are smiling.,A group of people are wearing orange shirts.,1.2
The woman is waiting for her date.,The woman is on her way to a date.,3.2
